Source,Target,nt_type,Weight,Color
B1-5,WED_pr02,ACH,5830,#27EBF5
B1-3,put_WED_pr02,ACH,3387,#27EBF5
B1-2,WV-WV-2,ACH,3082,#27EBF5
B1-1,WED-VLP-1,ACH,2727,#27EBF5
B1-2,WV-WV-1,ACH,2402,#27EBF5
B1-4,A1,ACH,2291,#27EBF5
B1-3,WED_pr02,ACH,2150,#27EBF5
B1-1,WV-WV-1,ACH,2059,#27EBF5
B1-2,put_WED_pr02,ACH,2042,#27EBF5
B1-2,WED-VLP-2,ACH,2039,#27EBF5
WED-VLP-1,AVLP_pr01,ACH,1989,#27EBF5
B1-2,WED_pr02,ACH,1920,#27EBF5
WV-WV-1,WED-VLP-1,GABA,1836,#D93636
B1-3,WV-WV-2,ACH,1739,#27EBF5
WV-WV-2,WED_pr02,GABA,1631,#D93636
B1-4,WV-WV-3,ACH,1574,#27EBF5
WV-WV-3,A1,GABA,1381,#D93636
WV-WV-3,GF,GABA,1372,#D93636
WED-VLP-2,AVLP_pr01,ACH,1313,#27EBF5
B2,B1,GABA,1286,#D93636
B1-5,WED_pr01,ACH,1274,#27EBF5
WV-WV-1,put_WED_pr02,GABA,1178,#D93636
B2,B1-2,GABA,1044,#D93636
WV-WV-1,AVLP_pr01,GABA,965,#D93636
WV-WV-3,WV-WV-3,GABA,957,#D93636
put_WED_pr02,WED-VLP-1,GABA,884,#D93636
WED_pr02,B1-5,GABA,865,#D93636
B2,B1,GLUT,842,#FC6EFF
WV-WV-1,WED_pr02,GABA,833,#D93636
AVLP_pr01,WED-VLP-1,GABA,828,#D93636
WED_pr02,B1-2,GABA,754,#D93636
put_WED-VLP,AVLP_pr01,ACH,742,#27EBF5
B1-4,GF,ACH,727,#27EBF5
pC2la,pMN1,ACH,723,#27EBF5
WV-WV-1,WED-VLP-2,GABA,705,#D93636
WED_pr02,WV-WV-2,GABA,699,#D93636
B1-1,put_WED-VLP,ACH,688,#27EBF5
A2,WED-VLP-1,ACH,681,#27EBF5
A1,A1,ACH,651,#27EBF5
WV-WV-1,put_WED-VLP,GABA,648,#D93636
A2,AVLP_pr01,ACH,648,#27EBF5
pC2lb,pC2lb,ACH,638,#27EBF5
WV-WV-2,put_WED_pr02,GABA,612,#D93636
WED_pr02,WED_pr02,GABA,591,#D93636
WED-VLP-2,put_WED_pr02,ACH,585,#27EBF5
put_WED_pr02,B1-2,GABA,524,#D93636
B1-2,put_AVLP_pr23,ACH,515,#27EBF5
B1,WV-WV-3,ACH,513,#27EBF5
put_WED_pr02,WV-WV-2,GABA,483,#D93636
put_WED_pr02,B1-3,GABA,483,#D93636
B1-2,AVLP_pr23,ACH,477,#27EBF5
put_WED_pr02,WV-WV-1,GABA,471,#D93636
pC2lb,pC2la,ACH,463,#27EBF5
put_WED_pr02,WED-VLP-2,GABA,462,#D93636
pC2lb,AVLP_pr36,ACH,461,#27EBF5
B1,WED-VLP-2,ACH,454,#27EBF5
B2,B1-3,GABA,440,#D93636
B1-1,put_WED_pr02,ACH,438,#27EBF5
B1-2,put_WED-VLP,ACH,436,#27EBF5
B1,WV-WV-1,ACH,426,#27EBF5
WED_pr02,WED-VLP-1,GABA,426,#D93636
pC2lb,pMN1,ACH,425,#27EBF5
WED_pr02,WV-WV-1,GABA,424,#D93636
WED_pr02,B1-3,GABA,419,#D93636
B2,B1-5,GABA,419,#D93636
B1-5,put_WED_pr02,ACH,418,#27EBF5
vpoIN,pC2lb,GABA,417,#D93636
B1-5,SAD_pr02,ACH,414,#27EBF5
WV-WV-2,WV-WV-2,GABA,410,#D93636
B2,B1-4,GABA,408,#D93636
AVLP_pr36,AVLP_pr36,ACH,393,#27EBF5
WED_pr02,put_WED_pr02,GABA,376,#D93636
put_WED_pr02,put_WED_pr02,GABA,358,#D93636
WED-VLP-2,WV-WV-1,ACH,356,#27EBF5
WV-WV-3,B1-4,GABA,350,#D93636
vpoIN,pMN2,GABA,348,#D93636
B1-3,WV-WV-1,ACH,344,#27EBF5
put_WED_pr02,WED_pr02,GABA,336,#D93636
B2,B1-3,GLUT,329,#FC6EFF
put_B1,WV-WV-1,ACH,326,#27EBF5
B1,IPS_pr01,ACH,318,#27EBF5
AVLP_pr01,WV-WV-1,GABA,315,#D93636
AVLP_pr36,pC2lb,ACH,311,#27EBF5
B1-5,B1-5,ACH,308,#27EBF5
B1-2,WV-WV-3,ACH,306,#27EBF5
put_WED_pr02,put_WED-VLP,GABA,300,#D93636
WED-VLP-1,vpoIN,ACH,295,#27EBF5
B1-5,WV-WV-2,ACH,288,#27EBF5
WED-VLP-1,put_WED_pr02,ACH,276,#27EBF5
WV-WV-3,A2,GABA,272,#D93636
AVLP_pr01,WED-VLP-2,GABA,270,#D93636
GNG_pr01,A1,GABA,267,#D93636
B1-3,WV-WV-3,ACH,265,#27EBF5
WED-VLP-2,WED_pr02,ACH,263,#27EBF5
put_WED_pr02,A2,GABA,257,#D93636
AVLP_pr01,put_WED-VLP,GABA,256,#D93636
B1-5,put_WED_pr01,ACH,253,#27EBF5
WED_pr02,WED-VLP-2,GABA,251,#D93636
WED_pr02,A2,GABA,247,#D93636
B1-2,AVLP_pr01,ACH,241,#27EBF5
WED-VLP-1,AVLP_pr31,ACH,235,#27EBF5
A1,GF,ACH,231,#27EBF5
B2,B1-2,GLUT,231,#FC6EFF
WED_pr02,put_WED-VLP,GABA,230,#D93636
WV-WV-1,WV-WV-1,GABA,229,#D93636
