Source,Target,Weight,nt_type,type_pre_baker,type_pre_lockwood,type_post_baker,type_post_lockwood
720575940644968302,720575940612975853,29,ACH,put_AVLP_pr23,AVLP_pr23,AVLP/PVLP_pr01,AVLP/PVLP_pr01-2
720575940627174247,720575940603683505,27,ACH,WED-VLP-1,WED-VLP-1,AVLP_pr01,AVLP_pr01-2
720575940621447077,720575940627827450,26,ACH,put_WED-VLP,WED-VLP-1,put_AVLP_pr31,AVLP_pr31
720575940632649697,720575940603186790,54,ACH,A2,A2,WED-VLP-1,WED-VLP-1
720575940630744019,720575940603683505,22,ACH,put_WED-VLP,WED-VLP-2,AVLP_pr01,AVLP_pr01-2
720575940631425965,720575940649911286,7,GABA,AVLP_pr01,AVLP_pr01-1,WED-VLP-1,WED-VLP-1
720575940627174247,720575940623787495,7,ACH,WED-VLP-1,WED-VLP-1,WED-VLP-1,WED-VLP-1
720575940622065432,720575940610558357,6,GABA,AVLP_pr01,AVLP_pr01-1,AVLP_pr02,AVLP_pr02
720575940628071696,720575940613531295,4,ACH,,AVLP/PVLP_pr01-1,AVLP/PVLP_pr01,AVLP/PVLP_pr01-1
720575940603683505,720575940621447077,13,GABA,AVLP_pr01,AVLP_pr01-2,put_WED-VLP,WED-VLP-1
720575940622699196,720575940621713672,14,ACH,WED-VLP-2,WED-VLP-2,AVLP_pr01,AVLP_pr01-2
720575940626042499,720575940627709801,7,GABA,AVLP_pr01,AVLP_pr01-2,AVLP_pr01,AVLP_pr01-3
720575940649911286,720575940620929416,20,ACH,WED-VLP-1,WED-VLP-1,AVLP_pr01,AVLP_pr01-2
720575940613034602,720575940641972384,2,ACH,AVLP_pr36,AVLP_pr36/asp10a-1,put_AVLP_pr36,AVLP_pr36/asp10a-1
720575940621301274,720575940636533574,2,GABA,put_PVLP_pr03,PVLP_pr03-1,PVLP_pr03,PVLP_pr03-1
720575940630744019,720575940627709801,8,ACH,put_WED-VLP,WED-VLP-2,AVLP_pr01,AVLP_pr01-3
