Source,Target,Weight
B1-5,WED_pr02,5830
B1-3,put_WED_pr02,3387
B1-2,WV-WV-2,3082
B1-1,WED-VLP-1,2727
B1-2,WV-WV-1,2402
B1-4,A1,2291
B1-3,WED_pr02,2150
B2,B1,2128
B1-1,WV-WV-1,2059
B1-2,put_WED_pr02,2042
B1-2,WED-VLP-2,2039
WED-VLP-1,AVLP_pr01,1989
B1-2,WED_pr02,1920
WV-WV-1,WED-VLP-1,1836
B1-3,WV-WV-2,1739
WV-WV-2,WED_pr02,1631
B1-4,WV-WV-3,1574
WV-WV-3,A1,1381
WV-WV-3,GF,1372
WED-VLP-2,AVLP_pr01,1313
B2,B1-2,1275
B1-5,WED_pr01,1274
WV-WV-1,put_WED_pr02,1178
WV-WV-1,AVLP_pr01,965
WV-WV-3,WV-WV-3,957
put_WED_pr02,WED-VLP-1,884
WED_pr02,B1-5,865
WV-WV-1,WED_pr02,833
AVLP_pr01,WED-VLP-1,828
B2,B1-3,769
WED_pr02,B1-2,754
put_WED-VLP,AVLP_pr01,742
B1-4,GF,727
pC2la,pMN1,723
WV-WV-1,WED-VLP-2,705
WED_pr02,WV-WV-2,699
B1-1,put_WED-VLP,688
A2,WED-VLP-1,681
A1,A1,651
WV-WV-1,put_WED-VLP,648
A2,AVLP_pr01,648
pC2lb,pC2lb,638
B2,B1-5,613
WV-WV-2,put_WED_pr02,612
WED_pr02,WED_pr02,591
WED-VLP-2,put_WED_pr02,585
B2,B1-4,567
put_WED_pr02,B1-2,524
B1-2,put_AVLP_pr23,515
B1,WV-WV-3,513
put_WED_pr02,WV-WV-2,483
put_WED_pr02,B1-3,483
B1-2,AVLP_pr23,477
put_WED_pr02,WV-WV-1,471
pC2lb,pC2la,463
put_WED_pr02,WED-VLP-2,462
pC2lb,AVLP_pr36,461
B1,WED-VLP-2,454
B1-1,put_WED_pr02,438
B1-2,put_WED-VLP,436
WED_pr02,WED-VLP-1,426
B1,WV-WV-1,426
pC2lb,pMN1,425
WED_pr02,WV-WV-1,424
WED_pr02,B1-3,419
B1-5,put_WED_pr02,418
vpoIN,pC2lb,417
B1-5,SAD_pr02,414
WV-WV-2,WV-WV-2,410
AVLP_pr36,AVLP_pr36,393
WED_pr02,put_WED_pr02,376
vpoIN,pMN2,359
put_WED_pr02,put_WED_pr02,358
WED-VLP-2,WV-WV-1,356
WV-WV-3,B1-4,350
B1-3,WV-WV-1,344
put_WED_pr02,WED_pr02,336
put_B1,WV-WV-1,326
B1,IPS_pr01,318
AVLP_pr01,WV-WV-1,315
AVLP_pr36,pC2lb,311
B1-5,B1-5,308
B1-2,WV-WV-3,306
put_WED_pr02,put_WED-VLP,300
WED-VLP-1,vpoIN,295
B1-5,WV-WV-2,288
WED-VLP-1,put_WED_pr02,276
WV-WV-3,A2,272
AVLP_pr01,WED-VLP-2,270
GNG_pr01,A1,267
B1-3,WV-WV-3,265
WED-VLP-2,WED_pr02,263
put_WED_pr02,A2,257
AVLP_pr01,put_WED-VLP,256
B1-5,put_WED_pr01,253
WED_pr02,WED-VLP-2,251
WED_pr02,A2,247
B1-2,AVLP_pr01,241
WED-VLP-1,AVLP_pr31,235
A1,GF,231
WED_pr02,put_WED-VLP,230
WV-WV-1,WV-WV-1,229
WED_pr01,WED_pr01,228
WED-VLP-1,pC2lb,228
WED-VLP-2,put_AVLP_pr01,227
A2,put_WED-VLP,224
WED-VLP-1,put_AVLP_pr31,224
A2,WV-WV-3,205
put_SAD_pr02,WV-WV-3,202
B1,WED-VLP-1,202
B1,SAD_pr02,200
put_B1,WED-VLP-1,200
WED_pr02,WV-WV-3,199
B1-4,WV-WV-2,197
WV-WV-2,WV-WV-3,195
WED-VLP-1,WED-VLP-1,194
SAD_pr02,WV-WV-3,191
WED_pr02,B1-1,190
put_WED_pr02,GF,181
put_WED-VLP,put_WED_pr02,179
WV-WV-1,WV-WV-2,177
WV-WV-3,SAD_pr02,172
SAD_pr02,B1-3,162
