Source,Target,nt_type_baker,Weight
B1-5,WED_pr02,Ach,6248
B1-3,WED_pr02,Ach,5537
JO-A,A2,Ach,4753
B1-2,WED_pr02,Ach,4316
B1-1,WED-VLP-1,Ach,3640
JO-A,WV-WV-3,Ach,3485
JO-B,B1-5,Ach,3480
B1-2,WV-WV-2,Ach,3223
JO-B,B1-4,Ach,3222
JO-A,WV-WV-1,Ach,2990
WV-WV-1,WED-VLP-1,GABA,2424
JO-B,B1-3,Ach,2417
B1-2,WV-WV-1,Ach,2386
JO-B,B1-2,Ach,2314
B1-2,WED-VLP-2,Ach,2302
B1-1,WV-WV-1,Ach,2284
JO-B,B1-1,Ach,2280
WV-WV-2,WED_pr02,GABA,2243
B1-4,A1,Ach,2196
JO-B,B1-7,Ach,2139
WV-WV-1,WED_pr02,GABA,2011
JO-B,B1-u,Ach,1962
A2,WED-VLP-1,Ach,1948
WED_pr02,WED-VLP-1,GABA,1757
WED-VLP-1,AVLP_pr01-2,Ach,1743
B1-3,WV-WV-2,Ach,1739
WED_pr02,WED_pr02,GABA,1661
B2,B1-7,GABA,1589
B1-5,WED_pr01-1,Ach,1512
WED-VLP-2,AVLP_pr01-2,Ach,1495
B1-4,WV-WV-3,Ach,1447
A2,AVLP_pr01-1,Ach,1444
JO-A,SAD_pr01,Ach,1388
WV-WV-3,A1,GABA,1381
WV-WV-3,GF,GABA,1372
WED_pr02,B1-2,GABA,1303
B2,B1-2,GABA,1275
WED_pr02,WV-WV-2,GABA,1182
WED-VLP-1,AVLP_pr01-1,Ach,999
B1-2,AVLP_pr23,Ach,988
JO-A,GF,Ach,985
WED-VLP-2,WED_pr02,Ach,982
WED_pr02,B1-5,GABA,966
WV-WV-1,AVLP_pr01-1,GABA,935
WV-WV-3,WV-WV-3,GABA,931
WED_pr02,A2,GABA,913
AVLP_pr01-1,vpoEN,GABA,913
WED_pr02,B1-3,GABA,902
pC2la,pMN1,Ach,898
WED_pr02,WV-WV-1,GABA,895
B1-6,aPN3,Ach,831
WED_pr02,WED-VLP-2,GABA,796
B2,B1-3,GABA,769
WV-WV-1,WED-VLP-2,GABA,765
JO-A,AVLP_pr01-1,Ach,713
WED-VLP-1,AVLP_pr31,Ach,713
JO-B,B2,Ach,705
B1-4,GF,Ach,697
B1-1,WED_pr02,Ach,676
SAD_pr02,JO-B,GABA,675
AVLP_pr36/asp10a-1,AVLP_pr36/asp10a-1,Ach,658
A1,A1,inconclusive,651
pC2lb,pC2lb,Ach,626
JO-A,SAD_pr02,Ach,624
AVLP_pr01-2,WED-VLP-1,GABA,622
B2,B1-5,GABA,613
vpoEN,pC2lb,Ach,590
JO-B,WV-WV-3,Ach,588
pC2lb,AVLP_pr36/asp10a-1,Ach,588
B2,B1-4,GABA,567
JO-B,B1-6,Ach,539
B1-u,WV-WV-1,Ach,527
B1-u,WED-VLP-2,Ach,522
SAD_pr02,WV-WV-3,GABA,520
pC2lb,pC2la,Ach,518
JO-B,IPS_pr01-2,Ach,507
aPN2,aPN2,Ach,504
A2,AVLP_pr23,Ach,497
SAD_pr02,JO-A,GABA,495
JO-A,B1-4,Ach,492
JO-B,GF,Ach,488
WED-VLP-1,WED_pr02,Ach,463
vpoEN,AVLP_pr36/asp10a-1,Ach,452
JO-B,IPS_pr02,Ach,449
B1-5,SAD_pr02,Ach,437
AVLP_pr01-1,WED-VLP-1,GABA,437
vpoIN-1,pC2lb,GABA,427
WED-VLP-2,WV-WV-1,Ach,422
aPN3,B1-5,GLUT,418
B2,B1-6,GABA,416
WED_pr02,B1-1,GABA,413
