Source,Target,nt_type_banc,layer_mean_pre,layer_mean_post,Weight
B1-5,WED_pr02,Ach,2.573717949,3.516025641,287
B1-3,WED_pr02,Ach,2.509615385,3.378205128,285
WV-WV-1,WED_pr02,GABA,3.176282051,3.445512821,279
WV-WV-3,GF,GABA,2.41025641,3.179487179,273
B1-5,WED_pr02,Ach,3.051282051,3.564102564,271
B1-1,WV-WV-1,Ach,2.141025641,3.176282051,259
B1-5,WED_pr02,Ach,2.939102564,3.541666667,244
WV-WV-1,AVLP_pr01-1,GABA,2.326923077,2.621794872,242
B1-1,WV-WV-1,Ach,4.378205128,3.176282051,233
B1-3,WED_pr02,Ach,2.653846154,3.378205128,231
B1-5,WED_pr02,Ach,3.028846154,3.541666667,224
WV-WV-1,WED_pr02,GABA,3.176282051,3.378205128,221
B2,B1-2,GABA,2.727564103,2.663461538,217
B1-5,WED_pr02,Ach,2.887820513,3.5,205
B1-3,WED_pr02,Ach,2.541666667,3.378205128,203
WV-WV-1,WED_pr02,GABA,3.176282051,3.403846154,203
B1-5,WED_pr02,Ach,3.147435897,3.608974359,201
B1-5,WED_pr02,Ach,2.573717949,3.362179487,197
B1-3,WED_pr02,Ach,2.833333333,3.362179487,197
WV-WV-3,WV-WV-3,GABA,2.53525641,2.846153846,196
B2,B1-3,GABA,2.727564103,2.509615385,194
WV-WV-1,WED-VLP-1,GABA,2.326923077,3.272435897,194
B1-5,WED_pr02,Ach,3.134615385,3.541666667,192
B1-5,WED_pr02,Ach,3.496794872,3.608974359,188
B1-3,WED_pr02,Ach,2.483974359,3.362179487,183
B1-3,WED_pr02,Ach,2.817307692,3.378205128,182
B1-3,WED_pr02,Ach,2.833333333,3.516025641,178
B2,B1-2,GABA,2.727564103,2.448717949,175
B1-5,WED_pr02,Ach,2.939102564,3.5,174
B1-3,WED_pr02,Ach,2.509615385,3.317307692,171
B1-3,WED_pr02,Ach,2.541666667,3.317307692,170
WV-WV-3,GF,GABA,2.41025641,3.467948718,169
B1-5,WED_pr02,Ach,3.051282051,3.608974359,167
A1,A1,inconclusive,3.823717949,3.730769231,166
B2,B1-7,GABA,2.644230769,2.358974359,166
B1-2,WED_pr02,Ach,2.477564103,3.445512821,166
B2,B1-2,GABA,2.727564103,2.387820513,163
B1-5,WED_pr02,Ach,3.051282051,3.516025641,161
B1-5,WED_pr02,Ach,3.141025641,3.564102564,158
B1-5,WED_pr02,Ach,2.887820513,3.541666667,154
B1-2,WV-WV-1,Ach,2.246794872,3.176282051,154
A2,AVLP_pr01-1,Ach,2.310897436,2.682692308,154
B1-3,WED_pr02,Ach,2.717948718,3.397435897,154
B1-5,WED_pr02,Ach,3.147435897,3.564102564,153
B1-4,A1,Ach,2.766025641,3.746794872,152
B2,B1-7,GABA,2.727564103,2.451923077,152
B1-4,WV-WV-3,Ach,2.766025641,2.326923077,151
B1-2,WED_pr02,Ach,2.663461538,3.445512821,151
B1-4,A1,Ach,2.743589744,3.823717949,148
B1-1,WV-WV-1,Ach,5.0,3.176282051,147
WV-WV-2,WV-WV-3,GABA,2.996794872,2.53525641,146
B1-3,WED_pr02,Ach,2.509615385,3.445512821,146
B1-1,WV-WV-1,Ach,2.108974359,3.176282051,145
B1-3,WED_pr02,Ach,2.717948718,3.362179487,143
