Source,Target,Weight,nt_type_banc,across_hemi_layer_pre,across_hemi_layer_post
B1-5,WED_pr02,5282,Ach,,
B1-3,WED_pr02,4964,Ach,,
B1-2,WED_pr02,3960,Ach,,
JO-A,A2,3567,Ach,,
JO-A,WV-WV-3,3178,Ach,,
B1-1,WED-VLP-1,3146,Ach,,
JO-B,B1-4,3053,Ach,,
JO-B,B1-5,3028,Ach,,
JO-A,WV-WV-1,2890,Ach,,
B1-2,WV-WV-2,2870,Ach,,
JO-B,B1-3,2417,Ach,,
JO-B,B1-2,2314,Ach,,
JO-B,B1-1,2280,Ach,,
WV-WV-2,WED_pr02,2163,GABA,,
B1-2,WED-VLP-2,1988,Ach,,
JO-B,B1-u,1962,Ach,,
B1-4,A1,1726,Ach,,
JO-B,B1-7,1704,Ach,,
WV-WV-1,WED_pr02,1640,GABA,2.711538462,
WED_pr02,WED_pr02,1631,GABA,,
WV-WV-1,WED-VLP-1,1519,GABA,,
B1-1,WV-WV-1,1483,Ach,,2.711538462
B1-3,WV-WV-2,1468,Ach,,
WED_pr02,WED-VLP-1,1461,GABA,,
B1-5,WED_pr01-1,1444,Ach,,
WED-VLP-1,AVLP_pr01-2,1409,Ach,,
B1-2,WV-WV-1,1404,Ach,,
A2,WED-VLP-1,1402,Ach,,
WED_pr02,B1-2,1232,GABA,,
JO-A,A2,1186,Ach,,2.304487179
B2,B1-7,1140,GABA,,
WED-VLP-2,AVLP_pr01-2,1094,Ach,,
WV-WV-3,A1,1080,GABA,,
A2,AVLP_pr01-1,1009,Ach,,
B1-5,WED_pr02,966,Ach,3.178858481,
B1-4,WV-WV-3,943,Ach,,
B1-2,WV-WV-1,866,Ach,,2.711538462
WED_pr02,WV-WV-2,861,GABA,,
WV-WV-1,AVLP_pr01-1,838,GABA,,
WED-VLP-2,WED_pr02,821,Ach,,
WED_pr02,B1-3,795,GABA,,
WED_pr02,B1-5,793,GABA,,
WED-VLP-1,AVLP_pr01-1,793,Ach,,
JO-A,SAD_pr01,773,Ach,,
WV-WV-1,WED-VLP-1,770,GABA,2.711538462,
B1-6,aPN3,695,Ach,,
WV-WV-3,WV-WV-3,678,GABA,,
SAD_pr02,JO-B,675,GABA,,
B2,B1-2,675,GABA,2.444978632,
WV-WV-3,GF,660,GABA,,
JO-B,B2,653,Ach,,
B1-1,WV-WV-1,648,Ach,,
AVLP_pr36/asp10a-1,AVLP_pr36/asp10a-1,622,Ach,,
WED_pr02,A2,619,GABA,,
AVLP_pr01-1,vpoEN,618,GABA,,
JO-A,SAD_pr01,615,Ach,,2.352564103
B1-1,WED_pr02,609,Ach,,
WED_pr02,WED-VLP-2,603,GABA,,
JO-A,AVLP_pr01-1,600,Ach,,
JO-A,SAD_pr02,592,Ach,,
WED-VLP-1,AVLP_pr31,587,Ach,,
B1-3,WED_pr02,573,Ach,2.726762821,
JO-B,WV-WV-3,557,Ach,,
B2,B1-2,537,GABA,,
JO-A,GF,517,Ach,,
B2,B1-5,503,GABA,,
WED_pr02,WV-WV-1,493,GABA,,
JO-A,B1-4,492,Ach,,
B1-4,WV-WV-3,492,Ach,,2.675824176
AVLP_pr01-2,WED-VLP-1,488,GABA,,
WV-WV-3,GF,474,GABA,,3.323717949
B1-2,AVLP_pr23,471,Ach,,3.192307692
JO-A,GF,468,Ach,,3.323717949
JO-B,B1-5,452,Ach,,3.178858481
WV-WV-1,WED-VLP-2,451,GABA,,
B1-2,AVLP_pr23,449,Ach,,
SAD_pr02,JO-A,439,GABA,,
JO-B,B1-7,435,Ach,,3.024906517
JO-B,IPS_pr01-2,434,Ach,,
A2,WED-VLP-1,433,Ach,2.304487179,
WED-VLP-1,WED_pr02,431,Ach,,
B1-4,A1,430,Ach,,3.896367521
