Source,Target,nt_type_banc,scalar,Weight
B1-5,WED_pr02,Ach,0.5,6157
B1-3,WED_pr02,Ach,0.5,5439
B1-2,WED_pr02,Ach,0.5,4154
B1-1,WED-VLP-1,Ach,0.5,3535
JO-A,WV-WV-3,Ach,1.0,3136
B1-2,WV-WV-2,Ach,0.5,2900
JO-B,B1-5,Ach,0.5,2877
JO-B,B1-4,Ach,0.5,2864
JO-A,WV-WV-1,Ach,1.0,2670
JO-A,A2,Ach,1.0,2519
WV-WV-1,WED-VLP-1,GABA,0.5,2288
B1-2,WV-WV-1,Ach,0.5,2259
B1-2,WED-VLP-2,Ach,0.5,2240
B1-1,WV-WV-1,Ach,0.5,2219
JO-B,B1-3,Ach,0.5,2123
B1-4,A1,Ach,0.5,2080
WV-WV-2,WED_pr02,GABA,0.5,2066
JO-A,A2,Ach,0.5,2058
JO-B,B1-1,Ach,0.5,2056
JO-B,B1-2,Ach,0.5,1977
JO-B,B1-7,Ach,0.5,1893
WV-WV-1,WED_pr02,GABA,0.5,1862
JO-B,B1-u,Ach,0.5,1813
WED-VLP-1,AVLP_pr01-2,Ach,0.5,1741
WED_pr02,WED-VLP-1,GABA,2.0,1608
B2,B1-7,GABA,0.5,1556
WED-VLP-2,AVLP_pr01-2,Ach,0.5,1494
B1-3,WV-WV-2,Ach,0.5,1489
B1-4,WV-WV-3,Ach,0.5,1367
WV-WV-3,GF,GABA,1.0,1351
WV-WV-3,A1,GABA,1.0,1343
WED_pr02,WED_pr02,GABA,2.0,1335
B1-5,WED_pr01-1,Ach,0.5,1323
B2,B1-2,GABA,0.5,1273
JO-A,SAD_pr01,Ach,1.0,1262
WED_pr02,B1-2,GABA,0.5,1060
A2,WED-VLP-1,Ach,0.5,1016
WED-VLP-1,AVLP_pr01-1,Ach,0.5,994
JO-A,GF,Ach,1.0,946
WV-WV-1,AVLP_pr01-1,GABA,0.5,924
WED-VLP-2,WED_pr02,Ach,2.0,922
AVLP_pr01-1,vpoEN,GABA,0.5,896
A2,WED-VLP-1,Ach,0.5,874
B1-2,AVLP_pr23,Ach,0.5,834
WED_pr02,WV-WV-2,GABA,0.5,823
WV-WV-3,WV-WV-3,GABA,1.0,811
WED_pr02,B1-5,GABA,0.5,785
A2,AVLP_pr01-1,Ach,0.5,782
B1-6,aPN3,Ach,0.5,772
B2,B1-3,GABA,0.5,764
WED_pr02,WV-WV-1,GABA,0.5,751
WED_pr02,WED-VLP-2,GABA,2.0,746
WED_pr02,B1-3,GABA,0.5,740
WV-WV-1,WED-VLP-2,GABA,0.5,726
WED-VLP-1,AVLP_pr31,Ach,0.5,713
pC2la,pMN1,Ach,1.0,668
A2,AVLP_pr01-1,Ach,0.5,625
AVLP_pr01-2,WED-VLP-1,GABA,0.5,621
B1-4,GF,Ach,0.5,619
B2,B1-5,GABA,0.5,600
B1-1,WED_pr02,Ach,0.5,599
SAD_pr02,JO-B,GABA,0.5,590
JO-B,B2,Ach,0.5,588
JO-A,AVLP_pr01-1,Ach,0.5,571
B2,B1-4,GABA,0.5,553
JO-B,WV-WV-3,Ach,1.0,517
A1,A1,inconclusive,1.0,517
B1-u,WED-VLP-2,Ach,0.5,508
B1-u,WV-WV-1,Ach,0.5,500
vpoEN,pC2lb,Ach,1.0,492
WED_pr02,A2,GABA,0.5,479
SAD_pr02,WV-WV-3,GABA,0.5,465
JO-A,SAD_pr02,Ach,0.5,459
JO-B,GF,Ach,1.0,450
JO-B,B1-6,Ach,0.5,449
JO-A,B1-4,Ach,0.5,437
WED-VLP-1,WED_pr02,Ach,2.0,433
JO-B,IPS_pr02,Ach,0.5,422
AVLP_pr01-1,WED-VLP-1,GABA,0.5,415
JO-B,IPS_pr01-2,Ach,0.5,415
pC2lb,pC2lb,Ach,1.0,414
B2,B1-6,GABA,0.5,413
WED-VLP-2,WV-WV-1,Ach,0.5,396
WED_pr02,A2,GABA,0.5,393
pC2lb,AVLP_pr36/asp10a-1,Ach,0.5,381
aPN2,aPN2,Ach,1.0,375
B1-5,SAD_pr02,Ach,0.5,372
aPN3,B1-5,GLUT,0.5,370
SAD_pr02,JO-A,GABA,0.5,364
WED-VLP-1,WED-VLP-1,Ach,2.0,353
vpoEN,AVLP_pr36/asp10a-1,Ach,0.5,351
WED_pr02,B1-1,GABA,0.5,336
WV-WV-2,WV-WV-2,GABA,1.0,333
JO-B,aPN2,Ach,1.0,322
vpoIN-1,pMN2,GABA,1.0,317
WED_pr02,JO-B,GABA,0.5,315
WED-VLP-1,vpoIN-3,Ach,0.5,314
AVLP_pr01-2,WED-VLP-2,GABA,0.5,310
WED-VLP-1,pC2lb,Ach,0.5,309
B1-3,WV-WV-1,Ach,0.5,302
B1-u,WED_pr02,Ach,0.5,296
vpoIN-1,pC2lb,GABA,1.0,296
B1-u,WED-VLP-1,Ach,0.5,290
JO-B,WV-WV-2,Ach,1.0,289
WED_pr02,GF,GABA,0.5,286
GNG_pr01-1,A1,GABA,0.5,283
B1-6,IPS_pr01-1,Ach,0.5,282
WV-WV-3,B1-4,GABA,0.5,272
JO-B,SAD_pr02,Ach,0.5,265
vpoEN,pMN1,Ach,1.0,259
JO-A,WV-WV-2,Ach,1.0,258
AVLP_pr01-1,WV-WV-1,GABA,0.5,255
A2,AVLP_pr23,Ach,0.5,253
pC2lb,pMN1,Ach,1.0,253
WED_pr02,vpoEN,GABA,0.5,252
B1-6,WV-WV-3,Ach,0.5,248
JO-B,JO-B,Ach,1.0,244
WED_pr02,WV-WV-4,GABA,0.5,240
WED-VLP-2,vpoEN,Ach,0.5,239
AVLP_pr36/asp10a-1,pC2lb,Ach,0.5,239
B1-3,WV-WV-3,Ach,0.5,234
aPN2,IPS_pr02,Ach,0.5,234
A2,AVLP_pr23,Ach,0.5,226
JO-A,B1-u,Ach,0.5,212
B1-2,WV-WV-3,Ach,0.5,212
A1,GF,inconclusive,1.0,209
JO-B,WV-WV-1,Ach,1.0,206
WED_pr02,AVLP_pr23,GABA,2.0,203
JO-A,B1-5,Ach,0.5,202
AVLP_pr36/asp10a-1,PVLP_pr03-2,Ach,0.5,200
WV-WV-1,WV-WV-1,GABA,1.0,199
WV-WV-4,A2,GABA,0.5,197
WV-WV-4,A2,GABA,1.0,189
WV-WV-2,WV-WV-3,GABA,1.0,186
WED_pr01-1,WED_pr01-1,Ach,2.0,186
JO-B,WED_pr02,Ach,0.5,186
pC2lb,pC2la,Ach,1.0,185
aPN3,IPS_pr02,GLUT,0.5,184
vpoIN-1,pC1e,GABA,1.0,183
AVLP_pr23,AVLP/PVLP_pr01-2,Ach,0.5,181
JO-A,AVLP_pr23,Ach,0.5,165
AVLP_pr01-1,A2,GABA,0.5,164
vpoEN,pMN2,Ach,1.0,164
WED_pr02,B1-u,GABA,0.5,158
aPN3,B1-4,GLUT,0.5,157
B1-2,AVLP_pr01-1,Ach,0.5,156
WV-WV-1,AVLP_pr23,GABA,0.5,155
SAD_pr01,GF,GABA,1.0,155
IPS_pr01-2,WED_pr01-2,GABA,0.5,154
B2,B1-u,GABA,0.5,153
AVLP_pr36/asp10a-1,AVLP_pr36/asp10a-1,Ach,2.0,150
A2,WV-WV-4,Ach,0.5,148
JO-B,AVLP_pr23,Ach,0.5,146
AVLP_pr23,A1,Ach,0.5,144
WED-VLP-2,pC2lb,Ach,0.5,144
A2,WV-WV-4,Ach,1.0,142
B1-1,AVLP_pr23,Ach,0.5,141
AVLP/PVLP_pr01-2,A1,Ach,0.5,141
JO-A,JO-A,Ach,1.0,139
B1-1,WED-VLP-2,Ach,0.5,139
PVLP_pr03-3,A1,GABA,0.5,138
aPN3,aPN2,GLUT,1.0,137
B1-5,AVLP_pr04,Ach,2.0,136
PVLP_pr03-3,GF,GABA,0.5,133
B1-7,WV-WV-3,Ach,0.5,133
IPS_pr01-1,WED_pr01-1,GABA,0.5,131
AVLP_pr01-1,A2,GABA,0.5,131
AVLP_pr01-1,AVLP_pr01-2,GABA,2.0,130
JO-B,SAD_pr01,Ach,1.0,130
WED-VLP-2,AVLP_pr22,Ach,0.5,124
B1-5,GF,Ach,0.5,122
B1-2,WED-VLP-1,Ach,0.5,122
WED-VLP-1,AVLP_pr01-3,Ach,0.5,119
AVLP_pr01-2,vpoEN,GABA,0.5,118
B1-5,WV-WV-2,Ach,0.5,118
B1-4,WV-WV-3,,0.5,117
JO-A,B1-7,Ach,0.5,116
WED-VLP-1,AVLP_pr32,Ach,0.5,115
B1-7,SAD_pr02,Ach,0.5,115
JO-A,WED_pr02,Ach,0.5,114
A2,WV-WV-2,Ach,0.5,113
SAD_pr02,B1-3,GABA,0.5,111
AVLP_pr36/asp10a-1,pMN1,Ach,0.5,110
pC2la,pC1d,Ach,1.0,109
WV-WV-3,SAD_pr02,GABA,0.5,108
AVLP_pr23,AVLP_pr23,Ach,2.0,107
AVLP_pr01-1,AVLP_pr02,GABA,2.0,105
WED_pr01-1,IPS/WED_pr01,Ach,2.0,105
WV-WV-3,WV-WV-2,GABA,1.0,103
WV-WV-3,A2,GABA,1.0,100
B1-u,WV-WV-3,Ach,0.5,99
B1-4,WED_pr01-1,Ach,0.5,99
AVLP_pr01-2,AVLP_pr01-2,GABA,2.0,97
AVLP_pr23,vpoEN,Ach,0.5,96
AVLP_pr01-2,AVLP_pr22,GABA,2.0,96
B1-5,B1-7,Ach,2.0,95
IPS_pr02,B1-6,GABA,0.5,93
B1-7,WED_pr01-1,Ach,0.5,88
B1-4,WV-WV-2,Ach,0.5,87
SAD_pr02,A2,GABA,0.5,85
A2,WV-WV-2,Ach,1.0,85
WED-VLP-2,AVLP_pr01-1,Ach,0.5,85
WV-WV-3,B1-5,GABA,0.5,84
AVLP_pr36/asp10a-1,AVLP_pr12,Ach,2.0,82
SAD_pr02,B1-5,GABA,0.5,82
WV-WV-1,WV-WV-3,GABA,1.0,82
B1-4,A1,,0.5,82
B1-4,SAD_pr02,Ach,0.5,81
B2,WV-WV-3,GABA,0.5,81
B1-6,A1,Ach,0.5,80
vpoIN-2,pMN2,GABA,1.0,79
WV-WV-3,SAD_pr01,GABA,1.0,77
WED-VLP-2,AVLP_pr31,Ach,0.5,77
pMN2,pC1d,Ach,1.0,77
SAD_pr01,B1-2,GABA,0.5,76
pC1d,AVLP_pr36/asp10a-1,Ach,0.5,75
B1-3,AVLP_pr23,Ach,0.5,75
