Source,Target,Weight,nt_type_banc,type_pre,type_post,layer_mean_pre,layer_mean_post,across_hemi_layer_pre,across_hemi_layer_post
720575940644968302,720575940612975853,29,Ach,AVLP_pr23,AVLP/PVLP_pr01-2,3.144230769,4.358974359,3.192307692,
720575940627174247,720575940603683505,27,Ach,WED-VLP-1,AVLP_pr01-2,3.310897436,4.070512821,,
720575940621447077,720575940627827450,26,Ach,WED-VLP-1,AVLP_pr31,3.224358974,4.352564103,,
720575940632649697,720575940603186790,54,Ach,A2,WED-VLP-1,2.317307692,3.314102564,,
720575940630744019,720575940603683505,22,Ach,WED-VLP-2,AVLP_pr01-2,3.423076923,4.070512821,,
720575940631425965,720575940649911286,7,GABA,AVLP_pr01-1,WED-VLP-1,2.621794872,3.256410256,,
720575940627174247,720575940623787495,7,Ach,WED-VLP-1,WED-VLP-1,3.310897436,3.336538462,,
720575940622065432,720575940610558357,6,GABA,AVLP_pr01-1,AVLP_pr02,2.592948718,4.179487179,,
720575940628071696,720575940613531295,4,Ach,AVLP/PVLP_pr01-1,AVLP/PVLP_pr01-1,6.115384615,5.996794872,6.126602564,
720575940603683505,720575940621447077,13,GABA,AVLP_pr01-2,WED-VLP-1,4.070512821,3.224358974,,
720575940622699196,720575940621713672,14,Ach,WED-VLP-2,AVLP_pr01-2,3.336538462,4.233974359,,
720575940626042499,720575940627709801,7,GABA,AVLP_pr01-2,AVLP_pr01-3,3.935897436,5.060897436,,
720575940649911286,720575940620929416,20,Ach,WED-VLP-1,AVLP_pr01-2,3.256410256,4.038461538,,
720575940613034602,720575940641972384,2,Ach,AVLP_pr36/asp10a-1,AVLP_pr36/asp10a-1,5.278846154,5.58974359,,
720575940621301274,720575940636533574,2,GABA,PVLP_pr03-1,PVLP_pr03-1,5.778846154,6.192307692,,
720575940630744019,720575940627709801,8,Ach,WED-VLP-2,AVLP_pr01-3,3.423076923,5.060897436,,
720575940603186790,720575940603683505,9,Ach,WED-VLP-1,AVLP_pr01-2,3.314102564,4.070512821,,
720575940634126949,720575940627660905,5,Ach,WED-VLP-2,AVLP_pr22,3.333333333,4.814102564,,
720575940619249031,720575940626042499,42,Ach,WED-VLP-1,AVLP_pr01-2,3.272435897,3.935897436,,
720575940611335859,720575940620622785,7,GABA,SAD_pr02,JO-B,3.096153846,,,
