Id,Label,NT2026 (FAFB and BANC),layer_mean[z],Across-hemi_layer_mean
720575940631693610,A1,inconclusive,3.823717949,3.896367521
720575940631200327,A1,inconclusive,4.294871795,
720575940618522433,A1,inconclusive,3.730769231,
720575940612001489,A1,inconclusive,3.746794872,
720575940616313942,A1,inconclusive,3.939102564,
720575940638214461,A2,Ach,2.298076923,2.304487179
720575940625146122,A2,Ach,2.291666667,
720575940632649697,A2,Ach,2.317307692,
720575940629133071,A2,Ach,2.310897436,
720575940626562570,B1-1,Ach,3.935897436,2.127747253
720575940635547113,B1-1,Ach,3.830128205,
720575940629913169,B1-1,Ach,4.378205128,
720575940609843865,B1-1,Ach,4.378205128,
720575940622097959,B1-1,Ach,5.0,
720575940625683176,B1-1,Ach,4.240384615,
720575940630223052,B1-1,Ach,2.169871795,
720575940611277293,B1-1,Ach,2.092948718,
720575940616809401,B1-1,Ach,2.141025641,
720575940619942859,B1-1,Ach,2.060897436,
720575940607188036,B1-1,Ach,2.108974359,
720575940606332629,B1-1,Ach,2.141025641,
720575940620694015,B1-1,Ach,2.179487179,
720575940627957719,B1-2,Ach,3.240384615,2.422676282
720575940610077026,B1-2,Ach,3.105769231,
720575940632715359,B1-2,Ach,3.596153846,
720575940620758221,B1-2,Ach,3.903846154,
720575940607371076,B1-2,Ach,3.378205128,
720575940614450774,B1-2,Ach,3.586538462,
720575940618758753,B1-2,Ach,3.743589744,
720575940642412941,B1-2,Ach,3.221153846,
720575940636679989,B1-2,Ach,2.435897436,
720575940612523571,B1-2,Ach,2.387820513,
720575940604839200,B1-2,Ach,2.423076923,
720575940610358990,B1-2,Ach,2.448717949,
720575940627410944,B1-2,Ach,2.298076923,
720575940630603091,B1-2,Ach,2.477564103,
720575940612146174,B1-2,Ach,2.663461538,
720575940622254375,B1-2,Ach,2.246794872,
720575940628910095,B1-3,Ach,3.256410256,2.726762821
720575940606010569,B1-3,Ach,2.717948718,
720575940654117025,B1-3,Ach,2.483974359,
720575940603636913,B1-3,Ach,2.833333333,
720575940624704393,B1-3,Ach,2.509615385,
720575940618066415,B1-3,Ach,2.817307692,
720575940619405812,B1-3,Ach,2.653846154,
720575940614840891,B1-3,Ach,2.541666667,
720575940617431325,B1-4,Ach,2.884615385,2.766254579
720575940609076693,B1-4,Ach,3.163461538,
720575940609522382,B1-4,Ach,2.782051282,
720575940614633867,B1-4,Ach,2.666666667,
720575940613380914,B1-4,Ach,2.743589744,
720575940639241279,B1-4,Ach,3.092948718,
720575940606336213,B1-4,Ach,3.169871795,
720575940620980323,B1-4,Ach,2.58974359,
720575940627263375,B1-4,Ach,2.766025641,
720575940637663662,B1-4,Ach,2.753205128,
720575940614310802,B1-4,Ach,2.708333333,
720575940635282910,B1-4,Ach,2.560897436,
720575940618599277,B1-4,Ach,2.426282051,
720575940609673369,B1-4,,2.419871795,
720575940615723077,B1-5,Ach,2.573717949,3.178858481
720575940618409797,B1-5,Ach,3.051282051,
720575940621043753,B1-5,Ach,3.147435897,
720575940611864243,B1-5,Ach,3.365384615,
720575940634599792,B1-5,Ach,3.451923077,
720575940624087283,B1-5,Ach,3.141025641,
720575940631631564,B1-5,Ach,3.240384615,
720575940639205198,B1-5,Ach,2.929487179,
720575940609832410,B1-5,Ach,4.240384615,
720575940616804806,B1-5,Ach,3.496794872,
720575940621242025,B1-5,Ach,2.887820513,
720575940618392912,B1-5,Ach,2.637820513,
720575940634877850,B1-5,Ach,3.028846154,
720575940620731631,B1-5,Ach,3.048076923,
720575940616633925,B1-5,Ach,2.833333333,
720575940630277175,B1-5,Ach,3.176282051,
720575940628016983,B1-5,Ach,3.615384615,
720575940646400644,B1-5,Ach,2.445512821,
720575940627455621,B1-5,Ach,3.615384615,
720575940623233238,B1-5,Ach,3.134615385,
720575940621800798,B1-5,Ach,3.477564103,
720575940617882397,B1-5,Ach,3.381410256,
720575940622577336,B1-5,Ach,2.939102564,
720575940612153086,B1-6,Ach,3.125,4.153846154
720575940621339686,B1-6,Ach,5.054487179,
720575940632829507,B1-6,Ach,3.141025641,
720575940611388141,B1-6,Ach,3.320512821,
720575940630131218,B1-6,Ach,4.708333333,
720575940625454596,B1-6,Ach,5.150641026,
720575940626153488,B1-6,Ach,4.46474359,
720575940646341486,B1-6,Ach,3.185897436,
720575940629063418,B1-6,Ach,4.756410256,
720575940644072483,B1-6,Ach,4.855769231,
720575940625483962,B1-6,Ach,3.016025641,
720575940607570185,B1-6,Ach,5.067307692,
